Date,Open,High,Low,Close,Adj Close,Volume
2023-01-26,28.260000,29.280001,27.309999,27.860001,27.860001,615600
2023-01-27,27.219999,27.790001,25.740000,27.740000,27.740000,856800
2023-01-30,27.299999,27.594999,26.740000,26.820000,26.820000,641700
2023-01-31,27.000000,27.350000,26.480000,26.740000,26.740000,1410800
2023-02-01,26.770000,27.520000,26.280001,27.080000,27.080000,790800
2023-02-02,27.389999,27.740000,26.610001,27.520000,27.520000,753000
2023-02-03,26.820000,27.155001,25.620001,25.900000,25.900000,730400
2023-02-06,25.700001,27.139999,25.559999,26.150000,26.150000,482800
2023-02-07,26.170000,26.170000,25.360001,26.000000,26.000000,610300
2023-02-08,25.790001,26.070000,24.860001,25.020000,25.020000,697600
2023-02-09,25.520000,25.530001,24.820000,25.250000,25.250000,784000
2023-02-10,25.170000,25.350000,24.487000,24.580000,24.580000,597400
2023-02-13,24.590000,25.700001,24.230000,25.540001,25.540001,1048100
2023-02-14,25.299999,26.570000,25.299999,25.490000,25.490000,1424200
2023-02-15,25.280001,25.770000,25.110001,25.540001,25.540001,641200
2023-02-16,25.450001,25.959999,24.980000,25.480000,25.480000,567700
2023-02-17,25.520000,25.889999,24.934999,25.590000,25.590000,1071900
2023-02-21,25.290001,25.660000,24.660999,25.030001,25.030001,934300
2023-02-22,25.090000,25.350000,24.770000,25.070000,25.070000,508900
2023-02-23,25.690001,25.760000,24.260000,24.360001,24.360001,575700
2023-02-24,23.959999,24.660000,23.879999,24.330000,24.330000,1081200
2023-02-27,24.440001,24.780001,24.200001,24.370001,24.370001,1244900
2023-02-28,28.139999,28.139999,26.059999,26.760000,26.760000,5593300
2023-03-01,26.590000,27.250000,26.270000,26.500000,26.500000,792200
2023-03-02,24.320000,24.559999,22.389999,23.395000,23.395000,2859100
2023-03-03,22.990000,25.990000,22.930000,25.450001,25.450001,6671500
2023-03-06,25.559999,25.799999,24.690001,24.940001,24.940001,2555200
2023-03-07,24.680000,26.020000,24.195000,24.590000,24.590000,2921500
2023-03-08,24.500000,24.840000,22.860001,22.940001,22.940001,1629100
2023-03-09,22.980000,23.625000,21.570000,21.700001,21.700001,1392600
2023-03-10,21.510000,21.910000,19.700001,20.760000,20.760000,1924500
2023-03-13,21.180000,22.820000,21.139999,22.580000,22.580000,2044000
2023-03-14,23.049999,23.690001,22.590000,23.440001,23.440001,1984700
2023-03-15,23.080000,23.900000,22.400000,22.980000,22.980000,1361300
2023-03-16,22.809999,22.830000,21.799999,22.240000,22.240000,563500
2023-03-17,22.150000,22.900000,21.330000,21.670000,21.670000,2834100
2023-03-20,21.450001,21.950001,21.090000,21.770000,21.770000,724500
2023-03-21,22.200001,22.410000,21.320000,21.370001,21.370001,904400
2023-03-22,21.250000,21.940001,20.840000,20.900000,20.900000,1161700
2023-03-23,21.129999,21.360001,20.629999,21.110001,21.110001,1161000
2023-03-24,21.020000,21.059999,20.270000,20.920000,20.920000,1151700
2023-03-27,20.910000,21.330000,20.565001,21.030001,21.030001,952900
2023-03-28,21.000000,21.450001,20.750000,20.770000,20.770000,938600
2023-03-29,21.070000,21.830000,20.660000,21.520000,21.520000,745500
2023-03-30,21.610001,22.190001,21.110001,21.459999,21.459999,1321900
2023-03-31,21.549999,21.969999,21.160000,21.660000,21.660000,998000
2023-04-03,21.500000,22.010000,21.040001,21.270000,21.270000,784700
2023-04-04,21.320000,21.540001,19.995001,20.280001,20.280001,1465100
2023-04-05,20.200001,20.660000,20.049999,20.420000,20.420000,902600
2023-04-06,20.480000,20.709999,20.055000,20.480000,20.480000,663700
